"";"block";"visit"
"1";1;0
"2";2;6
"3";1;7
"4";2;7
"5";1;8
"6";2;8
"7";1;9
"8";2;9
"9";1;10
"10";2;10
"11";1;11
"12";2;11
"13";1;12
"14";2;12
"15";1;13
"16";2;13
"17";1;14
"18";2;14
"19";1;15
"20";2;15
"21";1;16
"22";2;16
"23";1;17
"24";2;17
"25";1;18
"26";2;18
"27";1;19
"28";2;19
"29";1;20
"30";2;20
"31";1;21
"32";2;21
"33";1;22
"34";2;22
"35";1;23
"36";2;23
"37";1;24
"38";2;24
"39";1;25
"40";2;25
"41";1;26
"42";2;26
"43";1;27
"44";2;27
"45";1;28
"46";2;28
"47";1;29
"48";2;29
"49";1;30
"50";2;30
"51";1;31
"52";2;31
"53";1;32
"54";2;32
"55";1;33
"56";2;33
"57";1;34
"58";2;34
"59";1;35
"60";2;35
"61";1;36
"62";2;36
"63";1;37
"64";2;37
"65";1;38
"66";2;38
"67";1;39
"68";2;39
"69";1;40
"70";2;40
"71";1;41
"72";2;41
"73";1;42
"74";2;42
"75";1;43
"76";2;43
"77";1;44
"78";2;44
"79";1;45
"80";2;45
"81";1;46
"82";2;46
"83";1;47
"84";2;47
"85";1;48
"86";2;48
"87";1;49
"88";2;49
"89";1;50
"90";2;50
"91";1;51
"92";2;51
"93";1;52
"94";2;52
"95";1;53
"96";2;53
"97";1;54
"98";2;54
"99";1;55
"100";2;55
"101";1;56
"102";2;56
"103";1;57
"104";2;57
"105";1;58
"106";2;58
"107";1;59
"108";2;59
"109";1;60
"110";2;60
"111";1;61
"112";2;61
"113";1;62
"114";2;62
"115";1;63
"116";2;63
"117";1;64
"118";2;64
"119";1;65
"120";2;65
"121";1;66
"122";2;66
"123";1;67
"124";2;67
"125";1;68
"126";2;68
"127";1;69
"128";2;69
"129";1;70
"130";2;70
"131";1;71
"132";2;71
"133";1;72
"134";2;72
"135";1;73
"136";2;73
"137";1;74
"138";2;74
"139";1;75
"140";2;75
"141";1;76
"142";2;76
"143";1;77
"144";2;77
"145";1;78
"146";2;78
"147";1;79
"148";2;79
"149";1;80
"150";2;80
"151";1;81
"152";2;81
"153";1;82
"154";2;82
"155";1;83
"156";2;83
"157";1;84
"158";2;84
"159";1;85
"160";2;85
"161";1;86
"162";2;86
"163";1;87
"164";2;87
"165";1;88
"166";2;88
"167";1;89
"168";2;89
"169";1;90
"170";2;90
"171";1;91
"172";2;91
"173";1;92
"174";2;92
"175";1;93
"176";2;93
"177";1;94
"178";2;94
"179";1;95
"180";2;95
"181";1;96
"182";2;96
"183";1;97
"184";2;97
"185";1;98
"186";2;98
"187";1;99
"188";2;99
"189";1;100
"190";2;100
"191";1;101
"192";2;101
"193";1;102
"194";2;102
"195";1;103
"196";2;103
"197";1;104
"198";2;104
"199";1;105
"200";2;105
"201";1;106
"202";2;106
"203";1;107
"204";2;107
"205";1;108
"206";2;108
"207";1;109
"208";2;109
"209";1;110
"210";2;110
"211";1;111
"212";2;111
"213";1;112
"214";2;112
"215";1;113
"216";2;113
"217";1;114
"218";2;114
"219";1;115
"220";2;115
"221";1;116
"222";2;116
"223";1;117
"224";2;117
"225";1;118
"226";2;118
"227";1;119
"228";2;119
"229";1;120
"230";2;120
"231";1;121
"232";2;121
"233";1;122
"234";2;122
"235";1;123
"236";2;123
"237";1;124
"238";2;124
"239";1;125
"240";2;125
"241";1;126
"242";2;126
"243";1;127
"244";2;127
"245";1;128
"246";2;128
"247";1;129
"248";2;129
"249";1;130
"250";2;130
"251";1;131
"252";2;131
"253";1;132
"254";2;132
"255";1;133
"256";2;133
"257";1;134
"258";2;134
"259";1;135
"260";2;135
"261";1;136
"262";2;136
"263";1;137
"264";2;137
"265";1;138
"266";2;138
"267";1;139
"268";2;139
"269";1;140
"270";2;140
"271";1;141
"272";2;141
"273";1;142
"274";2;142
"275";1;143
"276";2;143
"277";1;145
"278";1;146
"279";2;146
"280";2;147
"281";2;148
"282";2;156
"283";2;157
"284";2;159
"285";2;160
